date,value
2015/4/1,4975300
2015/5/1,4158700
2015/6/1,4642200
2015/7/1,2048700
2015/8/1,1368500
2015/9/1,1083200
2015/10/1,1064200
2015/11/1,1471900
2015/12/1,1417300
2016/1/1,1350900
2016/2/1,1154600
2016/3/1,2292100
2016/4/1,1551200
2016/5/1,1421399
2016/6/1,1420900
2016/7/1,1306200
2016/8/1,2199000
2016/9/1,1853800
2016/10/1,1310200
2016/11/1,1748000
2016/12/1,1396900
2017/1/1,956300
2017/2/1,1515000
2017/3/1,2334100
2017/4/1,1283200
2017/5/1,1244700
2017/6/1,1329800
2017/7/1,1213500
2017/8/1,1512000
2017/9/1,1327000
2017/10/1,964700
2017/11/1,1220100
2017/12/1,972300
2018/1/1,1228200
2018/2/1,742400
2018/3/1,1557900
2018/4/1,968900
2018/5/1,1103100
2018/6/1,1030800
2018/7/1,1098200
2018/8/1,1070600
2018/9/1,909900
2018/10/1,908300
2018/11/1,1049700
2018/12/1,853400
2019/1/1,1023700
2019/2/1,996500
2019/3/1,2024800
2019/4/1,1531100
2019/5/1,1152600
2019/6/1,1055800
2019/7/1,1084900
2019/8/1,986200
2019/9/1,962800
2019/10/1,793800
2019/11/1,826500
2019/12/1,809300
2020/1/1,800699
2020/2/1,895400
2020/3/1,1891200
2020/4/1,1640400
2020/5/1,1214100
2020/6/1,1549000
2020/7/1,2426300
2020/8/1,1795100
2020/9/1,1541300
2020/10/1,1120100
2020/11/1,1527100
2020/12/1,1621800
2021/1/1,2094300
2021/2/1,1609400
2021/3/1,2477400
2021/4/1,1691399
2021/5/1,1412200
2021/6/1,1555200
2021/7/1,1608899
2021/8/1,1874600
2021/9/1,1618200
2021/10/1,9806999
2021/11/1,1337500
2021/12/1,1373800
2022/1/1,1324300
2022/2/1,1414600
2022/3/1,2302000
2022/4/1,1256700
2022/5/1,1202600
2022/6/1,1330300
2022/7/1,1132100
2022/8/1,1246000
2022/9/1,1030500
2022/10/1,8029000
2022/11/1,9731999
2022/12/1,712400
2023/1/1,844800
2023/2/1,1676800
2023/3/1,1896200
2023/4/1,1001900
2023/5/1,972600
2023/6/1,981300
2023/7/1,910300
2023/8/1,995900
2023/9/1,146990
2023/10/1,129570
2023/11/1,147230
2023/12/1,124890
2024/1/1,216650
2024/2/1,144740
2024/3/1,273050
2024/4/1,165100
2024/5/1,142180
2024/6/1,123320
2024/7/1,132780
2024/8/1,113370
2024/9/1,205660
2024/10/1,739400
2024/11/1,296930
2024/12/1,220390
2025/1/1,1773700
2025/2/1,3137700
2025/3/1,3485300
2025/4/1,2133200
2025/5/1,1727700
2025/6/1,1847300
2025/7/1,2125800
2025/8/1,2833700
2025/9/1,3133600
2025/10/1,2467200
2025/11/1,2550600
2025/12/1,2841300
2026/1/1,5462700
2026/2/1,2763300
2026/3/1,4996600
2026/4/1,2691900
